time,window,target_i,C1,C2,C3,C4,C5,C6,C7,C8,Enterobacteriaceae,Muribaculaceae,Paenibacillaceae,Ruminococcaceae
9,8,C4,0.06585522924059409,0.27505168054017737,0.31791468414996155,-0.06644031619823804,0.3376949728875503,0.23968674714835886,0.35013763832427136,0.2770755668214775,8.544873054879841e-4,-0.019041824547530374,0.1708629489634892,-0.16140720773223316
9,8,C5,-0.5457431395822661,-0.17210662342317773,-0.16166533136557246,-0.4202535610891086,-0.43324179011553327,-0.4808807318188013,-0.12155110422884936,-0.3631599227950893,9.370513099117274e-4,0.23255831441991823,-0.3431282641828936,0.08672719275363446
9,8,C6,-0.3285365552724096,-0.1301795000483324,-0.041456309814484386,-0.32417758337657826,-0.26320942332757263,-0.35597198572575917,-0.14441588574348593,-0.3325375258765873,0.0010447108009375968,0.1826012302828066,-0.3608507817870921,0.09669874826961132
9,8,C7,-0.5727171309019201,-0.5076060521660354,-0.6175812325117996,-0.3978739914752356,-0.6434555336096232,-0.45446267738409796,-0.41274078314331336,-0.313686680568889,4.036786521838425e-4,0.29119297710908076,-0.47820600499320864,0.4655070531117414
9,8,C8,-0.3505532163660809,-0.315229025839969,-0.2591802248175977,-0.34927204967151404,-0.4045007592353385,-0.403112179486412,-0.3389615313255184,-0.3876900216640668,3.530337226262161e-4,0.20124690708145265,-0.4680625629610661,0.3006619990409714
9,8,Enterobacteriaceae,-0.009362671777076694,-0.004744405730287755,-0.004459283135869675,-0.006131003717878376,-0.005317557049792232,-0.004525079632487124,-9.858955788533002e-4,-0.0015307477506547827,1.1733770629882819e-4,0.00977116947671097,-0.011971798995125047,0.006348024909258069
9,8,Muribaculaceae,-0.329480765582117,-0.19300842592375353,-0.18225749602978972,-0.2152368005521213,-0.19185165473469287,-0.14984341504956875,-0.04962737114557851,-0.04017536088820548,0.004382698357402954,0.3675909257833116,-0.4662032134198131,0.2730397106136826
9,8,Paenibacillaceae,0.07723659515545676,-0.17427605471221558,-0.221062798159055,0.02404681322246789,-0.15948528472997092,-0.05872825390073925,-0.2569003801340367,-0.11140974368904402,-0.0024507887983937185,-0.11003507548854677,0.04161921567025804,0.10330335997554997
9,8,Ruminococcaceae,0.2822305690786468,0.2388048931816932,0.37695607037446627,0.13507501607207373,0.36547863870237834,0.17362406301026467,0.11132621267697063,0.01782016290745595,-8.075874720002305e-4,-0.16891863732687593,0.14007637635421027,-0.26302638360511416
10,9,C1,-0.14679238615045048,0.06993663592525771,0.17965862242186306,-0.08216206761203634,0.03745637797478368,-0.09788051160499278,0.08159981575847691,-0.12722175213590817,0.005518383306380135,0.16143414657214156,-0.22204775327793416,-0.07794093080239807
10,9,C2,-0.4179722132701161,-0.3012948539372272,-0.3825282618988816,-0.25005229536202417,-0.4185131743666853,-0.29156043120211805,-0.20986872731329434,-0.1900241625441127,0.003181335606557422,0.23363551149920847,-0.30514977674971544,0.2448872075678295
10,9,C3,-0.6073521019688801,-0.313460878003379,-0.39804976952688503,-0.322751612631926,-0.505180870420616,-0.39702671792833066,-0.16889933953479397,-0.24992300669386092,0.0059440125848788505,0.359648410762266,-0.418837893267408,0.22328646708243727
10,9,C4,0.013342912151054286,0.21383376746750657,0.26348830852858257,-0.08467525800754575,0.27885176806983675,0.2089493463537286,0.31024682011978166,0.2402414457991746,0.004488195448844032,0.07808036215349741,0.053581310864108764,-0.11328494794858134
10,9,C5,-0.5628102229446379,-0.20543681379492526,-0.1760049047191175,-0.41769327984131643,-0.4208824214857955,-0.43348747674313687,-0.10885356979424793,-0.33226463281130775,0.007308726646028947,0.3714645996863561,-0.47498639355259037,0.12908559836034472
