time,window,target_i,C1,C2,C3,C4,C5,C6,Enterobacteriaceae,Lactobacillaceae,Paenibacillaceae
11,9,Lactobacillaceae,0.03711802531051137,-0.0299316292681046,0.11059706552908535,0.06962802817427315,0.07477954021865751,0.027901786373501658,0.013848552294868728,-0.10354061452048068,-0.06979424723198092
11,9,Paenibacillaceae,0.1667212044135654,0.035511867514420786,0.05252070758455045,0.06492839145558603,0.09166548550119882,-0.09498188379499363,-0.00521834173679991,0.09827768473844847,0.13262328184504502
12,10,C1,-0.09828366649307253,-0.08261203940617362,0.10748898122677976,-0.07952666519831818,-0.049369635495000286,0.08323615212707101,0.013124448091882731,-0.1676998312910508,-0.1903494717231931
12,10,C2,0.11951892211680638,0.004952385527536174,0.04609284115660233,0.02622586418827531,0.10219585105336047,-0.05994892443350321,-0.0011408624092562102,0.0845668803265473,0.07306072779872717
12,10,C3,-0.29610152124384154,-0.07162235756381059,-0.010627608089949867,-0.08999470601412106,-0.20129809436571386,0.18790215950224148,0.01683163281284025,-0.2939826832061257,-0.31627305014398727
12,10,C4,0.04781255059985184,-0.05834192066288413,0.12392778170517324,-0.016133313075123477,0.10663138635663083,0.01498637427927565,0.010561190270375583,-0.08222848318794901,-0.10368963637861033
12,10,C5,-0.09036590584153247,-0.10071304715760113,0.1412050231892969,-0.1125485333837797,-0.04966752648852187,0.07588002235826498,0.012927363645134322,-0.16857408065068183,-0.18387118265671454
12,10,C6,-0.005565901760707344,0.008649109746142927,-0.024329119086389944,0.014372788071014497,0.005537804262971368,0.003959391989224812,2.7248505550562445e-4,0.004056274239340785,2.1801227575238036e-4
12,10,Enterobacteriaceae,-0.025178052070167118,-0.01372492806672789,0.014133263055182598,-0.0027019886219084473,-0.006820472281145736,0.024052236452359637,0.004267465035259349,-0.033230566850382864,-0.048804537829642815
12,10,Lactobacillaceae,-0.018923676485847057,-0.06369569322229225,0.15290021756858205,0.07190314986467955,0.06487969165142214,0.09266226994875872,0.029988429977869185,-0.14254724691593795,-0.1996276081602657
12,10,Paenibacillaceae,0.13764270081162785,0.023364518099177514,0.06001461308678807,0.06084871326815042,0.08200424408869489,-0.06938755148642486,-3.607002587701711e-4,0.07756231386875836,0.08688568613196122
13,11,C1,-0.1016570973874952,-0.0845265582427768,0.11575636188766718,-0.0655287613932766,-0.03957080685752489,0.09582066014335087,0.018336847076033436,-0.15894836284303995,-0.20782406963245031
13,11,C2,0.11261934133474542,0.007586028272974409,0.0359715043651947,0.021651027329203335,0.09119936110332347,-0.06103661355910721,-0.0031160005602961886,0.07898335121080949,0.07780810646076519
13,11,C3,-0.2866581529342135,-0.07846389496712101,0.015854144565816266,-0.07241436261188249,-0.17601012528120352,0.19923445397473008,0.024314292847310806,-0.2764882704972719,-0.33714181923698494
13,11,C4,0.033057049663971626,-0.06079722800125558,0.12736952803774737,-0.009271311775254037,0.10066064960776734,0.03023567104904786,0.014838796523661579,-0.0802262337764614,-0.12334272195218063
13,11,C5,-0.11538891022279331,-0.11681123234467856,0.17654935138832475,-0.08446747658879541,-0.031729371074743405,0.12291541109409729,0.028820944241588785,-0.17093178988821897,-0.26084240628778926
13,11,C6,-0.009062723249035188,0.004915145096381416,-0.016562426755475097,0.015018904935564716,0.006174814732854722,0.009863252336585034,0.0022047402196443376,0.0015478472221792858,-0.01103397855637606
13,11,Enterobacteriaceae,-0.02607955344219804,-0.014865969762867899,0.01739823710945983,-7.965262097584933e-4,-0.005078961173456907,0.0269715557105191,0.0054830654686512,-0.031897187117013,-0.053351784912266775
