time,window,target_i,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,Enterobacteriaceae,Paenibacillaceae,Ruminococcaceae
9,8,C7,-0.26188271802561314,-0.14018509728104106,-0.24873979578881358,-0.1705352380923502,-0.07288982710941426,0.07382745371359792,-0.005617124941986812,-0.010314825426671052,-0.08489222970489206,-0.026964682981232307,0.013839916062821823,-0.1129731030565297,-0.015455290590834326,-0.08401430466329497,0.005201810552980303,-0.11016013357967311,-0.26600490387243214
9,8,C8,-0.1959830497804225,-0.09806814491885721,-0.19346002471195223,-0.1308880226567767,-0.060038568189333494,0.05231406931573645,0.01183046154630108,-0.008108001509479991,-0.09490079069508889,-0.03549406488171064,0.01703892574749436,-0.12045873568444272,0.01021953806440181,-0.026130286040052794,0.003417334701798282,-0.10695454268579185,-0.2104626151194424
9,8,C9,-0.19586079782066299,-0.03198756970767939,-0.274955723199934,-0.21844784559993122,-0.055974417887825666,0.06410668060206447,0.020693064229947312,0.06195381968146963,-0.08309719846451782,-0.09680217039542152,0.01969785369602429,-0.2546195460451507,-0.04722035465073511,-0.006553421203314217,0.003110869359772094,-0.08359362957124794,-0.2603381601119032
9,8,C10,0.07338194275092973,0.1548246353312532,-0.025140271422928046,0.05540821860187057,0.015242991016461769,0.0159419626262529,0.06110054815313576,0.05150144108067202,0.17706439681123878,-0.06374287886701746,0.05499274311930485,0.010054751609450626,-0.11470097357456875,0.043600844657933055,0.0015879683544281632,-0.055824402627839546,0.04178952141720728
9,8,C11,-0.3439893034983707,-0.1338103942337125,-0.35921599512274005,-0.2036561487415109,-0.08507118435065097,0.12022506783744441,0.03506543420587557,0.017918861339276542,-0.057392066784161075,-0.04191361560918213,0.07446554211845428,-0.15028443413989942,-0.061022938599738376,-0.07950711676371544,0.010687423020685356,-0.24753826981774762,-0.3738400599634169
9,8,C12,0.12896632659083468,0.25153407534846767,-0.05592394709681871,0.029158859646290863,0.031502238586497054,0.013244111376755208,0.06982505838996933,0.11217810074558895,0.23852540259590807,-0.11310677211077919,0.05409931043326748,-0.059293270700638064,-0.1886879608774467,0.06837093476985703,6.8136281460603305e-6,3.327837082776699e-4,0.06990055605456354
9,8,C13,0.1700899034261318,0.06787809080048698,0.17495493873485282,0.2204378506899624,0.07910638149722832,-0.037703571380270515,0.002970588251747446,0.0036577564710144903,0.09004388023320682,0.12860888283541244,0.030167700996431297,0.22914828389723252,-0.037090141043672,0.04636623030148958,-3.117005646328629e-4,0.03913565305260562,0.21811833495429728
9,8,C14,-0.27585336574094754,-0.14789985589960303,-0.2616515303896549,-0.19199386339717048,-0.09737196555628004,0.06923880611769237,-0.016721649459019175,-0.03419433714820003,-0.07199810096883058,-0.06485045677384556,-0.017406290393308224,-0.12335518347645476,-0.013996102490395724,-0.10857716129389462,0.002723796241109726,-0.06400339706109044,-0.2692719997593275
9,8,Enterobacteriaceae,-0.022004676048287854,-0.0072264926479703095,-0.023274186283544482,-0.009658964366229336,-0.0035683111524924516,0.009205205099107367,0.004771702051125616,0.003099690017642414,-0.0022072090600810954,5.593629202411497e-4,0.00957757353131846,-0.0068966966653513356,-0.005348075603230902,-0.0028003314815628036,0.001059965294896976,-0.024362029796470768,-0.025038348755081173
9,8,Paenibacillaceae,0.5517429847816345,0.2715175481245308,0.5329733247036239,0.26357723124644167,0.11841149849064977,-0.18355052461493135,-0.02743204723810271,-0.0048148147299229855,0.11754516389111594,-0.021705590993271982,-0.10957519482893699,0.1307804313919538,0.08850929114819775,0.15071757936304675,-0.016831696667832963,0.36109576458758624,0.5623841467744691
9,8,Ruminococcaceae,0.055329644376783636,0.1784380707624793,-0.0719486413369755,-0.049914044999094874,0.0039290671277828326,0.02276196748833554,0.06644750370023743,0.08823831973212003,0.14360838977709797,-0.1338159245362479,0.04580671592808622,-0.1345595002997436,-0.10342865789418544,0.054449638022193624,0.001283294462697664,-0.05953173093440185,-0.03317052689804466
10,9,C1,-0.10397181423046142,0.04880613882392701,-0.207880024477694,-0.07258005055129382,-0.01694942791794059,0.06257288665743209,0.06946115096850625,0.0707104312763589,0.02580920589780564,-0.04257167065714368,0.07104551435590209,-0.12558271344865435,-0.09988087872115074,0.03846320876135902,0.007513480842557543,-0.13707638062459507,-0.1564958197372753
10,9,C2,-0.3169267178709217,-0.13565611544376788,-0.33891404176248113,-0.24337633244426723,-0.0889699037979896,0.09627573655555453,0.028305273796892107,0.017280983459107096,-0.13418491984052996,-0.059919493128357086,0.028699724496945394,-0.23357116875474215,-0.014505759520257377,-0.05431523582364376,0.00919245397577163,-0.16629117089283466,-0.3647810913325708
10,9,C3,0.06824428525191678,0.1780754639745745,-0.07741890024273092,0.12885251192319536,0.0703202039715829,0.04865752965857987,0.1203205425137232,0.11923920698443836,0.15569143818293435,0.05955112969294129,0.1453890886726005,0.04270216394105191,-0.17404986547293566,0.11625244261887263,0.012585008393116725,-0.18228214824814157,0.016859787298434036
10,9,C4,-0.17216447047813058,0.06708190483504806,-0.2911188133284109,-0.12996163701158578,-0.0374671845957456,0.11250357157213313,0.10855292325333954,0.08751478021401453,0.11725453230087292,-0.08321635427873252,0.10529263836614904,-0.16000200016107388,-0.15414923482343862,-0.017851254949694084,0.01647664141294353,-0.23957842416109174,-0.26074395268111916
10,9,C5,-0.08340484328231945,0.020476666257578713,-0.13695350678912369,-0.03887418397986581,-0.015218842891618487,0.04806941725167737,0.051716481142025754,0.036185103627167384,0.024962717646078984,-0.02176379773383265,0.05609002124976811,-0.06228519309906699,-0.06072625544413954,0.01729636333159703,0.006237848372773814,-0.1222403943663312,-0.1159815106580529
10,9,C6,-0.09872647698398919,-0.058390648380020595,-0.07726937529748187,-0.053084316802318364,-0.019959787090125965,0.033785717318448656,0.011502720071232096,-0.0032875288994417373,-0.037878114872097815,0.009165988550831556,0.023263095728841547,-0.03285785564454565,0.009436134543696484,-0.026686079082759464,0.0050880044375298155,-0.0882521026421565,-0.11052653325529907
