Time,Family,Abundance,Abundance.family,Sample
10,Corynebacteriaceae,0,0,m5
10,Deferribacteraceae,0,0,m5
10,Desulfovibrionaceae,0,0,m5
10,Eggerthellaceae,0,0,m5
10,Enterobacteriaceae,41677,0.8314779347218897,m5
10,Enterococcaceae,0,0,m5
10,Erysipelotrichaceae,0,0,m5
10,Lachnospiraceae,0,0,m5
10,Lactobacillaceae,7693,0.15347937115952437,m5
10,Marinifilaceae,0,0,m5
10,Microbacteriaceae,0,0,m5
10,Monoglobaceae,0,0,m5
10,Muribaculaceae,0,0,m5
10,Oscillospiraceae,0,0,m5
10,Paenibacillaceae,754,0.015042694118585907,m5
10,Peptococcaceae,0,0,m5
10,Peptostreptococcaceae,0,0,m5
10,Prevotellaceae,0,0,m5
10,Propionibacteriaceae,0,0,m5
10,Rhizobiaceae,0,0,m5
10,Rikenellaceae,0,0,m5
10,Ruminiclostridium,0,0,m5
10,Ruminococcaceae,0,0,m5
10,Saccharimonadaceae,0,0,m5
10,Sutterellaceae,0,0,m5
10,Tannerellaceae,0,0,m5
10,UCG-010,0,0,m5
10,[Eubacterium] coprostanoligenes group,0,0,m5
11,Acholeplasmataceae,2,3.841573508509085e-5,m5
11,Akkermansiaceae,0,0,m5
11,Anaerovoracaceae,0,0,m5
11,Atopobiaceae,0,0,m5
11,Bacillaceae,0,0,m5
11,Bacteroidaceae,0,0,m5
11,Beijerinckiaceae,0,0,m5
11,Bifidobacteriaceae,0,0,m5
11,Butyricicoccaceae,0,0,m5
11,Chitinophagaceae,0,0,m5
11,Christensenellaceae,0,0,m5
11,Clostridiaceae,0,0,m5
11,Comamonadaceae,0,0,m5
11,Corynebacteriaceae,0,0,m5
11,Deferribacteraceae,0,0,m5
11,Desulfovibrionaceae,0,0,m5
11,Eggerthellaceae,0,0,m5
11,Enterobacteriaceae,26959,0.5178249010794822,m5
11,Enterococcaceae,0,0,m5
11,Erysipelotrichaceae,0,0,m5
11,Lachnospiraceae,0,0,m5
11,Lactobacillaceae,3533,0.06786139602781299,m5
11,Marinifilaceae,0,0,m5
11,Microbacteriaceae,0,0,m5
11,Monoglobaceae,0,0,m5
11,Muribaculaceae,0,0,m5
11,Oscillospiraceae,0,0,m5
11,Paenibacillaceae,21568,0.41427528715761974,m5
11,Peptococcaceae,0,0,m5
11,Peptostreptococcaceae,0,0,m5
11,Prevotellaceae,0,0,m5
11,Propionibacteriaceae,0,0,m5
11,Rhizobiaceae,0,0,m5
11,Rikenellaceae,0,0,m5
11,Ruminiclostridium,0,0,m5
11,Ruminococcaceae,0,0,m5
11,Saccharimonadaceae,0,0,m5
11,Sutterellaceae,0,0,m5
11,Tannerellaceae,0,0,m5
11,UCG-010,0,0,m5
11,[Eubacterium] coprostanoligenes group,0,0,m5
12,Acholeplasmataceae,0,0,m5
12,Akkermansiaceae,0,0,m5
12,Anaerovoracaceae,0,0,m5
12,Atopobiaceae,0,0,m5
12,Bacillaceae,0,0,m5
12,Bacteroidaceae,0,0,m5
12,Beijerinckiaceae,4,7.0482097547223e-5,m5
12,Bifidobacteriaceae,0,0,m5
12,Butyricicoccaceae,0,0,m5
12,Chitinophagaceae,8,1.40964195094446e-4,m5
12,Christensenellaceae,0,0,m5
12,Clostridiaceae,0,0,m5
12,Comamonadaceae,20,3.52410487736115e-4,m5
12,Corynebacteriaceae,0,0,m5
12,Deferribacteraceae,0,0,m5
12,Desulfovibrionaceae,0,0,m5
12,Eggerthellaceae,0,0,m5
12,Enterobacteriaceae,26058,0.45915562447138425,m5
12,Enterococcaceae,0,0,m5
12,Erysipelotrichaceae,0,0,m5
12,Lachnospiraceae,0,0,m5
12,Lactobacillaceae,2444,0.04306456160135325,m5
12,Marinifilaceae,0,0,m5
12,Microbacteriaceae,0,0,m5
12,Monoglobaceae,0,0,m5
12,Muribaculaceae,0,0,m5
12,Oscillospiraceae,0,0,m5
12,Paenibacillaceae,28218,0.4972159571468847,m5
12,Peptococcaceae,0,0,m5
12,Peptostreptococcaceae,0,0,m5
12,Prevotellaceae,0,0,m5
12,Propionibacteriaceae,0,0,m5
12,Rhizobiaceae,0,0,m5
12,Rikenellaceae,0,0,m5
12,Ruminiclostridium,0,0,m5
12,Ruminococcaceae,0,0,m5
12,Saccharimonadaceae,0,0,m5
12,Sutterellaceae,0,0,m5
12,Tannerellaceae,0,0,m5
12,UCG-010,0,0,m5
